ID,Name,Image,Stars,Rarity,Nation,Characteristic,Aviation,DmgRound,RateOfFire,Ranges,Angle,Weapon1,Weapon2,Weapon3
DB1,SBD Dauntless,19000.png,★,Normal,Us 1.png,Bomber,0,,,,,,,
DB2,SBD Dauntless,19000.png,★★,Normal,Us 1.png,Bomber,5,,,,,,,
DB3,SBD Dauntless,19000.png,★★★,Rare,Us 1.png,Bomber,12,,,,,,,
DB4,Blackburn Skua,29000.png,★,Normal,En 1.png,Bomber,0,,,,,,,
DB5,Blackburn Skua,29000.png,★★,Normal,En 1.png,Bomber,5,,,,,,,
DB6,Blackburn Skua,29000.png,★★★,Rare,En 1.png,Bomber,12,,,,,,,
DB7,SB2C Helldiver,19100.png,★★,Normal,Us 1.png,Bomber,5,,,,,,,
DB8,SB2C Helldiver,19100.png,★★★,Rare,Us 1.png,Bomber,12,,,,,,,
DB9,SB2C Helldiver,19100.png,★★★★,Elite,Us 1.png,Bomber,25,,,,,,,
DB10,Aichi D3A Type 99,39000.png,★★,Normal,Jp 1.png,Bomber,5,,,,,,,
DB11,Aichi D3A Type 99,39000.png,★★★,Rare,Jp 1.png,Bomber,12,,,,,,,
DB12,Aichi D3A Type 99,39000.png,★★★★,Elite,Jp 1.png,Bomber,25,,,,,,,
DB13,Fairey Firefly,29100.png,★★,Normal,En 1.png,Bomber,5,,,,,,,
DB14,Fairey Firefly,29100.png,★★★,Rare,En 1.png,Bomber,12,,,,,,,
DB15,Fairey Firefly,29100.png,★★★★,Elite,En 1.png,Bomber,25,,,,,,,
DB16,BTD-1 Destroyer,19200.png,★★★,Rare,Us 1.png,Bomber,12,,,,,,,
DB17,BTD-1 Destroyer,19200.png,★★★★,Elite,Us 1.png,Bomber,25,,,,,,,
DB18,BTD-1 Destroyer,19200.png,★★★★★,Super Rare,Us 1.png,Bomber,45,,,,,,,
DB19,D4Y Suisei,39100.png,★★★,Rare,Jp 1.png,Bomber,12,,,,,,,
DB20,D4Y Suisei,39100.png,★★★★,Elite,Jp 1.png,Bomber,25,,,,,,,
DB21,D4Y Suisei,39100.png,★★★★★,Super Rare,Jp 1.png,Bomber,45,,,,,,,
DT1,TBD Devastator,18000.png,★,Normal,Us 1.png,Torp Bomber,0,,,,,,,
DT2,TBD Devastator,18000.png,★★,Normal,Us 1.png,Torp Bomber,5,,,,,,,
DT3,TBD Devastator,18000.png,★★★,Rare,Us 1.png,Torp Bomber,12,,,,,,,
DT4,Nakajima B5N,38000.png,★,Normal,Jp 1.png,Torp Bomber,0,,,,,,,
DT5,Nakajima B5N,38000.png,★★,Normal,Jp 1.png,Torp Bomber,5,,,,,,,
DT6,Nakajima B5N,38000.png,★★★,Rare,Jp 1.png,Torp Bomber,12,,,,,,,
DT7,TBF Avenger,18100.png,★★,Normal,Us 1.png,Torp Bomber,5,,,,,,,
DT8,TBF Avenger,18100.png,★★★,Rare,Us 1.png,Torp Bomber,12,,,,,,,
DT9,TBF Avenger,18100.png,★★★★,Elite,Us 1.png,Torp Bomber,25,,,,,,,
DT10,Fairey Swordfish,28000.png,★★,Normal,En 1.png,Torp Bomber,5,,,,,,,
DT11,Fairey Swordfish,28000.png,★★★,Rare,En 1.png,Torp Bomber,12,,,,,,,
DT12,Fairey Swordfish,28000.png,★★★★,Elite,En 1.png,Torp Bomber,25,,,,,,,
DT13,Nakajima B6N Tenzan,38100.png,★★,Normal,Jp 1.png,Torp Bomber,5,,,,,,,
DT14,Nakajima B6N Tenzan,38100.png,★★★,Rare,Jp 1.png,Torp Bomber,12,,,,,,,
DT15,Nakajima B6N Tenzan,38100.png,★★★★,Elite,Jp 1.png,Torp Bomber,25,,,,,,,
DT16,Fairey Barracuda,28100.png,★★★,Rare,En 1.png,Torp Bomber,12,,,,,,,
DT17,Fairey Barracuda,28100.png,★★★★,Elite,En 1.png,Torp Bomber,25,,,,,,,
DT18,Fairey Barracuda,28100.png,★★★★★,Super Rare,En 1.png,Torp Bomber,45,,,,,,,
