skill,skillName,eff
70,Fast Take-off ,เมื่อใช้คำสั่ง Airstrike มีโอกาส 5.0% (15.0%) ที่จะรีเซ็ทคูลดาวน์การส่งฝูงเครื่องบินรอบถัดไปให้เสร็จทันที
70,Air Support  (ได้รับหลัง Remodel),ทุกครั้งที่ส่งฝูงบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีทางอากาศให้เรือบรรทุกเครื่องบินฝ่ายเดียวกันในกองเรือทุกลำ 5.0% (15.0%) นาน 8 วินาที
71,Fast Take-off ,เมื่อใช้คำสั่ง Airstrike มีโอกาส 5.0% (15.0%) ที่จะรีเซ็ทคูลดาวน์การส่งฝูงเครื่องบินรอบถัดไปให้เสร็จทันที
71,Air Defense CommandMain Force  (ได้รับหลัง Remodel)  ,เพิ่มค่าต่อต้านอากาศยานให้แก่กองเรือแถวหลัง 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
72,Aviation Pioneer ,หลังจบการต่อสู้เรือบรรทุกเครื่องทุกลำในกองเรือได้รับค่าประสบการณ์เพิ่มขึ้น 5.0% (15.0%)
72,Reload CommandLight Carrier  (ได้รับหลัง Remodel)       ,เพิ่มค่าความเร็วโหลดกระสุนให้แก่เรือบรรทุกเครื่องบินเบาทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
75,Fast Take-off ,เมื่อใช้คำสั่ง Airstrike มีโอกาส 5.0% (15.0%) ที่จะรีเซ็ทคูลดาวน์การส่งฝูงเครื่องบินรอบถัดไปให้เสร็จทันที
75,Raid Carrier  (ได้รับหลัง Remodel),ฝูงเครื่องบินที่ส่งออกไปโจมตีจากการใช้คำสั่ง Airstrike มีโอกาส 15.0% (25.0%) ที่จะสร้างความเสียหาย 2 เท่า
140,Raid Carrier ,ฝูงเครื่องบินที่ส่งออกไปโจมตีจากการใช้คำสั่ง Airstrike มีโอกาส 15.0% (25.0%) ที่จะสร้างความเสียหาย 2 เท่า
142,Support Aircraft Carrier ,ทุกครั้งที่ส่งฝูงเครื่องบินออกไปด้วยคำสั่ง Airstrikeฟื้นฟูพลังชีวิตให้แก่กองเรือแถวหน้า 3.5% (8.0%)
142,Reload CommandEscort ,เพิ่มค่าความเร็วโหลดกระสุนให้แก่เรือกองหน้าทุกลำ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
220,Aviation Pioneer ,หลังจบการต่อสู้เรือบรรทุกเครื่องทุกลำในกองเรือได้รับค่าประสบการณ์เพิ่มขึ้น 5.0% (15.0%)
220,Air Support ,ทุกครั้งที่ส่งฝูงบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีทางอากาศให้เรือบรรทุกเครื่องบินฝ่ายเดียวกันในกองเรือทุกลำ 5.0% (15.0%) นาน 8 วินาที
222,Support Aircraft Carrier ,ทุกครั้งที่ส่งฝูงเครื่องบินออกไปด้วยคำสั่ง Airstrikeฟื้นฟูพลังชีวิตให้แก่กองเรือแถวหน้า 3.5.0% (8.0%)
222,Air Support  (ได้รับหลัง Remodel),ทุกครั้งที่ส่งฝูงบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีทางอากาศให้เรือบรรทุกเครื่องบินฝ่ายเดียวกันในกองเรือทุกลำ 5.0% (15.0%) นาน 8 วินาที
