skill,skillName,eff
39,Reload Order ,ทุก 20 วินาทีมีโอกาส 25.0%เพิ่มความเร็วโหลดกระสุน 5.0% (25.0%)นาน 8 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
39,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Pensacola-class I (II)
40,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
40,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Pensacola-class I (II)
41,Artillery CommandCruiser ,เพิ่มค่าพลังโจมตีปืนใหญ่ให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
41,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Northampton-class I (II)
42,Focus Fire ,กระสุนจากปืนหลักมีโอกาส 15.0% (30.0%) ที่จะทำความเสียหายซ้ำ 2 ครั้ง
42,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Northampton-class I (II)
43,Galloping Ghost of the Java Coast ,เมื่อยิงด้วยปืนหลักมีโอกาส 20% ที่จะเพิ่มค่าหลบหลีกให้ตนเอง 60.0% (100%)นาน 15 วินาที
43,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Northampton-class I (II)
44,My Sister is really awesome! ,เมื่อมีเรือ Indianapolis อยุ่ในกองเรือเพิ่มค่าพลังโจมตีปืนใหญ่ค่าตอร์ปิโดค่าต่อต้านอากาศยาน และค่าความเร็วโหลดกระสุน 5.0% (15.0%) ให้แก่ตนเอง
44,Defense Order ,ทุก 20 วินาทีมีโอกาส 25.0%ลดทอนความเสียหายที่กองเรือได้รับลง 5.0% (15.0%)นาน 8 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
44,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Portland-class I (II)
45,Pandora's Box ,ทุก 3 วินาทีสร้างโล่หมุนรอบตัว 2 อันโล่แต่ละอันป้องกันกระสุนได้ 8 นัดเมื่อโล่ระเบิดจะทำดาเมจขนาดเบาใส่ศัตรูโดยรอบโล่อยู่ได้นานสูงสุด 5 (15) วินาที
46,Focused Defense ,เมื่อได้รับความเสียหายมีโอกาส 3.5.0% (8.0%) ที่จะลดความเสียหายนั้นลง 50%
46,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Portland-class I (II)
49,Artillery CommandCruiser ,เพิ่มค่าความเสียหายปืนใหญ่ให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
49,Main Gun Salvo ,ทุกครั้งที่โจมตีมีโอกาส 15.0% (25.0%) ที่จะยิงกระสุนแถมเพิ่มอีก 1 ชุด
49,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Wichita-class I (II)
119,Artillery CommandEscort ,เพิ่มค่าความเสียหายปืนใหญ่ให้แก่เรือกองหน้าทุกลำ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
119,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - London-class I (II)
120,Main Gun Salvo ,ทุกครั้งที่โจมตีมีโอกาส 15.0% (25.0%) ที่จะยิงกระสุนแถมเพิ่มอีก 1 ชุด
120,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - London-class I (II)
121,Raid Order ,ทุก 20 วินาทีมีโอกาส 25.0%เพิ่มค่าความเสียหายที่สร้างจากกองเรือตนเอง 5.0% (25.0%)นาน 8 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
121,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Kent-class I (II)
122,Main Gun Salvo ,ทุกครั้งที่โจมตีมีโอกาส 15.0% (25.0%) ที่จะยิงกระสุนแถมเพิ่มอีก 1 ชุด
122,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 9 (6) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Kent-class I (II)
122,Full Fire Power  (ได้รับหลัง Remodel),ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
