skill,skillName,eff
29,Rapid Reload ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มความเร็วโหลดกระสุนให้ตนเอง 20.0% (40.0%)นาน 10 วินาที
29,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Omaha-class I (II)
30,Rapid Reload ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มความเร็วโหลดกระสุนให้ตนเอง 20.0% (40.0%)นาน 10 วินาที
30,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Omaha-class I (II)
31,Artillery CommandCruiser ,เพิ่มค่าพลังโจมตีปืนใหญ่ให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
31,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 15 (10) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Brooklyn-class I (II)
32,Crimson Phoenix ,เมือพลังชีวิตต่ำกว่า 20.0%ฟื้นเลือด 15.0% (25.0%)และเพิ่มพลังโจมตีปืนใหญ่ 30% เป็นระยะเวลา 15 วินาทีทุกการต่อสู้แสดงผลได้ 1 ครั้ง
32,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 15 (10) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Brooklyn-class I (II)
33,Radar Sweep ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะทำให้กองเรือศัตรูได้รับความเสียหายเพิ่มขึ้น 20.0% (40.0%)นาน 10 วินาที
33,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 15 (10) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Brooklyn-class I (II)
34,Air Defense CommandCruiser ,เพิ่มค่าต่อต้านอากาศยานให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
34,Air Defense Mode ,เมื่อปืนต่อต้านอากาศยานทำงานมีโอกาส 25.0% เพิ่มค่าต่อต้านอากาศยานให้ตนเอง 20.0% (40.0%) โดยลดค่าโจมตีปืนใหญ่ 40.0% (20.0%)  เป็นการแลกเปลี่ยนนาน 3 วินาที
34,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Atlanta-class I (II)
35,Sentiment of War ,ฟื้นค่าพลังชีวิตให้แก่เรือในทีมทุกลำ 15.0% (25.0%) เมื่อตนเองจมลง
35,Air Defense Mode ,เมื่อปืนต่อต้านอากาศยานทำงานมีโอกาส 25.0% เพิ่มค่าต่อต้านอากาศยานให้ตนเอง 20.0% (40.0%) โดยลดค่าโจมตีปืนใหญ่ 40.0% (20.0%)  เป็นการแลกเปลี่ยนนาน 3 วินาที
35,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Atlanta-class I (II)
36,I'm No.1! (NO.1),เมื่อยิงปืนต่อต้านอากาศยานจะมีโอกาสแสดงผลสกิลเพิ่มค่าต่อต้านอากาศยานให้แก่ทั้งทีม 30.0% (50.0%)นาน 8 วินาที
36,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Atlanta-class I (II)
37,Assault Order ,ทุก 20 วินาทีมีโอกาส 25.0%เพิ่มค่าความเสียหายที่สร้างจากกองเรือตนเอง 5.0% (25.0%)นาน 8 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
37,Air Defense Mode ,เมื่อปืนต่อต้านอากาศยานทำงานมีโอกาส 25.0% เพิ่มค่าต่อต้านอากาศยานให้ตนเอง 20.0% (40.0%) โดยลดค่าโจมตีปืนใหญ่ 40.0% (20.0%)  เป็นการแลกเปลี่ยนนาน 3 วินาที
37,Full Barrage I (II) (I (II)),ทุกการโจมตีด้วยปืนหลักครบ 15 (10) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Cleveland-class I (II)
104,Artillery CommandCruiser ,เพิ่มค่าพลังโจมตีปืนใหญ่ให้แก่เรือลาดตระเวนทุกลำในกองเรือ 5.0% (15.0%)สกิล Command ประเภทเดียวกันไม่สามารถแสดงผลร่วมกันได้
104,Smoke Bomb  (ได้รับหลัง Remodel),เมื่อเริ่มการต่อสู้จะใช้ระเบิดควันหลังจากนั้นทุกๆ 15 วินาที มีโอกาส 15.0% (30.0%) ที่จะใช้ระเบิดควันอีกเมื่อกองเรือแถวหน้าถูกปกคลุมด้วยระเบิดควันจะเพิ่มค่าหลบหลีกมากขึ้น 20.0% (40.0%)นาน 5 วินาทีสกิลประเภทเดียวกันนี้แสดงผลซ้อนกันไม่ได้
104,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Leander-class I (II)
105,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
105,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Leander-class I (II)
106,Full Fire Power ,ทุก 20 วินาทีมีโอกาส 30.0% (60.0%) ที่จะเพิ่มค่าโจมตีปืนใหญ่ให้ตนเอง 20.0% (40.0%)บัฟแสดงผลนาน 10 วินาที
106,Monster Hunter  (ได้รับหลัง Remodel),เพิ่ิ่ิ่มความเสียหายที่สร้างต่อเรือลาดตระเวนหนัก 15.0% (25.0%)
106,Full Barrage I (II) (I (II)),ทุกการโจมตีครบ 12 (8) ครั้งแสดงผลสกิลโจมตีเต็มกำลัง - Leander-class I (II)
114,Armour Piercing Upgrade ,เพิ่ิ่มค่าความเสียหายของกระสุนเจาะเกราะ 15.0% (25.0%)
