skill,skillName,eff
73,Covering Fire ,ทุก 20 (10) วินาที จะยิงกระสุนปืนใหญ่โจมตีโดยกระสุนสร้างความเสียหายได้เทียบเท่ากับกระสุนของเรือลาดตระเวนหนัก (ความเสียหายขึ้นอยู่กับเลเวลสกิล)
73,Fleet Carrier ,ทุกครั้งที่ส่งฝูงเครื่องบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีปืนใหญ่ให้กับกองเรือแถวหน้าทั้งหมด 5.0% (15.0%) นาน 8 วินาที
74,Covering Fire ,ทุก 20 (10) วินาที จะยิงกระสุนปืนใหญ่โจมตีโดยกระสุนสร้างความเสียหายได้เทียบเท่ากับกระสุนของเรือลาดตระเวนหนัก (ความเสียหายขึ้นอยู่กับเลเวลสกิล)
74,Fleet Carrier ,ทุกครั้งที่ส่งฝูงเครื่องบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีปืนใหญ่ให้กับกองเรือแถวหน้าทั้งหมด 5.0% (15.0%) นาน 8 วินาที
75,Fast Take-off ,เมื่อใช้คำสั่ง Airstrike มีโอกาส 5.0% (15.0%) ที่จะรีเซ็ทคูลดาวน์การส่งฝูงเครื่องบินรอบถัดไปให้เสร็จทันที
75,Raid Carrier  (ได้รับหลัง Remodel),ฝูงเครื่องบินที่ส่งออกไปโจมตีจากการใช้คำสั่ง Airstrike มีโอกาส 15.0% (25.0%) ที่จะสร้างความเสียหาย 2 เท่า
76,Vengeful Strike ,เมื่อพลังชีวิตต่ำกว่า 20.0% จะฟื้นฟูพลังชีวิตกลับคืนมา 15.0% (25.0%) และส่งฝูงเครื่องบินพิเศษจากสกิลเข้าจู่โจมศัตรูทันที (ความเสียหายขึ้นอยู่กับเลเวลสกิล)ทุก 1 การต่อสู้จะแสดงผลสกิลนีได้ครั้งเดียวเท่านั้น
76,Fleet Carrier ,ทุกครั้งที่ส่งฝูงเครื่องบินออกไปด้วยคำสั่ง Airstrikeเพิ่มค่าพลังโจมตีปืนใหญ่ให้กับกองเรือแถวหน้าทั้งหมด 5.0% (15.0%) นาน 8 วินาที
77,LuckyE,เมื่อใช้คำสั่ง Airstrikeมีโอกาส 40.0% (70.0%) ที่จะสร้างความเสียหายจากฝูงบินเหล่านั้น 2 เท่าและทำให้ตนเองได้รับสถานะอำพรางตัว มีผลหลบหลีกการโจมตีทุกชนิด นาน 8 วินาที
78,Doolittle Raid ,การจู่โจมด้วยฝูงบินมีโอกาส 20.0% (40.0%) ที่จะใช้ฝูงเครื่องบินทิ้งระเบิดแบบพิเศษ B25 เข้าจู่โจมเป็นระลอกเสริม 1 ครั้ง
78,Raid Carrier ,ฝูงเครื่องบินที่ส่งออกไปโจมตีจากการใช้คำสั่ง Airstrike มีโอกาส 15.0% (25.0%) ที่จะสร้างความเสียหาย 2 เท่า
144,Sally Swordfish ,การจู่โจมด้วยฝูงเครื่องบินจาก Airstrike จะส่งฝูงเครื่องบินตอร์ปิโดแบบพิเศษ Fairey Swordfish เข้าจู่โจมด้วยการทิ้งตอร์ปิโดเป็นระลอกเสริม 1 ครั้ง (สร้างความเสียหายตามเลเวลสกิล) และศัตรูที่โดนตอร์ปิโดชนจะถูกลดความเร็วเคลื่อนที่ลง 30.0% (60.0%) นาน 8 วินาที
144,Raid Carrier ,ฝูงเครื่องบินที่ส่งออกไปโจมตีจากการใช้คำสั่ง Airstrike มีโอกาส 15.0% (25.0%) ที่จะสร้างความเสียหาย 2 เท่า
